"Price","Mileage","Make","Model","Trim","Type","Cylinder","Liter","Doors","Cruise","Sound","Leather"
"17314.103128902","8221","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","1","1"
"17542.036083279","9135","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","1","0"
"16218.847861938","13196","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","1","0"
"16336.913140049","16342","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","0","0"
"16339.170323925","19832","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","0","1"
"15709.052821083","22236","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","1","0"
"15230.003389848","22576","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","1","0"
"15048.042184116","22964","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","1","0"
"14862.093869598","24021","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","0","1"
"15295.018266879","27325","Buick","Century","Sedan 4D","Sedan","6","3.1","4","1","1","1"
"21335.852484891","10237","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","0","0"
"20538.087510225","15066","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","1","0"
"20512.094091239","16633","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","1","0"
"19924.159052404","19800","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","1","1"
"19774.249066066","23359","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","1","1"
"19344.165537357","23765","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","1","0"
"19105.130124416","24008","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","0","0"
"18543.427045365","26034","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","1","1"
"17808.198996021","32896","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","1","0"
"17968.838278265","34665","Buick","Lacrosse","CX Sedan 4D","Sedan","6","3.6","4","1","1","1"
"22358.877678117","8970","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","1","0"
"23785.922526377","10577","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","1","1"
"22926.090371255","14363","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","1","1"
"21895.758784201","16508","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","0","1"
"21273.06171392","18908","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","0","0"
"21460.013952891","19467","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","0","1"
"21183.123587424","21394","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","0","0"
"20406.099502894","22596","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","0","0"
"21058.139579954","24469","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","1","1"
"19556.899320289","25245","Buick","Lacrosse","CXL Sedan 4D","Sedan","6","3.6","4","1","0","0"
"23447.686561015","15755","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","1","0"
"23547.239442877","16235","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","1","0"
"23016.008008682","18147","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","1","1"
"22230.027502557","22102","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","0","1"
"22625.07356605","23612","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","0","1"
"21799.172096889","24439","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","0","0"
"21341.257207075","25212","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","1","1"
"21683.031463555","26779","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","1","0"
"20986.016017485","27096","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","0","0"
"20902.103794312","29649","Buick","Lacrosse","CXS Sedan 4D","Sedan","6","3.8","4","1","1","1"
"20698.077083173","2992","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","0","1"
"20099.25684484","10036","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","1","1"
"18145.126489093","18339","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","1","0"
"17944.856923459","19592","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","0","0"
"19027.862305435","21797","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","0","1"
"18348.898571694","23852","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","1","0"
"17750.884574628","25040","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","1","0"
"17772.969680041","25052","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","1","0"
"17394.021397803","25464","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","1","0"
"17645.745044144","27830","Buick","Lesabre","Custom Sedan 4D","Sedan","6","3.8","4","1","1","1"
"21908.366624625","17353","Buick","Lesabre","Limited Sedan 4D","Sedan","6","3.8","4","1","0","0"
"21956.342662708","17787","Buick","Lesabre","Limited Sedan 4D","Sedan","6","3.8","4","1","1","0"
